Performer,Section,Perf_Start,Perf_End,MeanIntens,ForteRatio,DynCV,TimingCV,Density,ZCR
Lang Lang,A段 主题,0.0,51.1,0.177,0.041,1.053,0.177,2.94,0.0101
Lang Lang,B段 抒情,51.1,64.5,0.316,0.155,0.804,0.171,3.05,0.0111
Lang Lang,华彩 技巧,64.5,109.2,0.295,0.098,0.783,0.168,3.11,0.0161
Lang Lang,尾声,109.2,127.4,0.339,0.12,0.61,0.175,3.2,0.0319
Li Yundi,A段 主题,0.0,75.1,0.239,0.044,0.786,0.25,2.78,0.0141
Li Yundi,B段 抒情,75.1,94.8,0.288,0.065,0.637,0.17,3.19,0.0026
Li Yundi,华彩 技巧,94.8,160.5,0.237,0.038,0.811,0.231,2.98,0.0117
Li Yundi,尾声,160.5,187.2,0.137,0.012,1.109,0.257,2.96,0.0239
Shen Wenyu,A段 主题,0.0,81.0,0.282,0.04,0.602,0.237,2.93,0.0135
Shen Wenyu,B段 抒情,81.0,102.3,0.302,0.062,0.609,0.163,3.24,0.0062
Shen Wenyu,华彩 技巧,102.3,173.2,0.405,0.263,0.608,0.238,3.06,0.0112
Shen Wenyu,尾声,173.2,201.9,0.125,0.052,1.603,0.17,3.09,0.0073
