Performer,Window,Time_seconds,RMS,Spectral_Centroid,MFCC0_mean
郎朗,0,0,0.0036134962,1039.8544273804382,-525.8344
郎朗,1,2,0.007904781,768.158862201728,-470.1311
郎朗,2,4,0.030097054,768.4249103478176,-389.46783
郎朗,3,6,0.01833503,955.611788094292,-410.01282
郎朗,4,8,0.006767501,668.7717801756634,-475.2275
郎朗,5,10,0.008875615,645.5902382321186,-497.14938
郎朗,6,12,0.012294344,679.77886243702,-469.5375
郎朗,7,14,0.023929609,1155.9946758722679,-366.06693
郎朗,8,16,0.009186421,1528.4212983995724,-378.98596
郎朗,9,18,0.00908902,811.7237548501774,-449.98724
郎朗,10,20,0.014134499,967.097141754841,-411.81168
郎朗,11,22,0.009124226,711.9615128579802,-449.53418
郎朗,12,24,0.0078200055,651.650950587914,-473.62137
郎朗,13,26,0.007144733,724.1290624444454,-472.3229
郎朗,14,28,0.021574235,579.752091633161,-434.45062
郎朗,15,30,0.030530296,554.6165948460601,-387.57486
郎朗,16,32,0.05589429,746.9886453438402,-348.67496
郎朗,17,34,0.04441146,712.0103816338249,-364.44748
郎朗,18,36,0.038843066,791.6861752772808,-368.6021
郎朗,19,38,0.020671321,602.3651154066042,-422.41577
郎朗,20,40,0.017851947,574.7424043269682,-433.75446
郎朗,21,42,0.037252992,612.0548807925499,-388.86105
郎朗,22,44,0.052733917,668.3447433670343,-359.97394
郎朗,23,46,0.022302201,543.0364577631375,-428.78226
郎朗,24,48,0.022832088,501.81146585885284,-437.10397
郎朗,25,50,0.055533454,648.9488173496811,-347.65863
郎朗,26,52,0.05819995,623.8633514356426,-352.71274
郎朗,27,54,0.020809615,648.6931688111051,-414.43433
郎朗,28,56,0.02124524,778.299284898662,-405.32425
郎朗,29,58,0.01954281,757.582838340393,-410.34723
郎朗,30,60,0.020072108,960.1203446997654,-403.1388
郎朗,31,62,0.01264114,820.0254610591275,-433.13235
郎朗,32,64,0.013814881,705.2874442148475,-445.56522
郎朗,33,66,0.015838189,721.570145635383,-444.96408
郎朗,34,68,0.031162174,803.1594532711464,-401.4827
郎朗,35,70,0.058920946,742.7057937215603,-350.56836
郎朗,36,72,0.09323435,829.5467731306082,-302.34708
郎朗,37,74,0.07454438,933.2592498143019,-309.23392
郎朗,38,76,0.07007209,806.788562361927,-325.79578
郎朗,39,78,0.028533839,817.8603592517675,-389.24106
郎朗,40,80,0.040298454,686.4864525533135,-384.09158
郎朗,41,82,0.093406394,864.0820568511587,-279.38882
郎朗,42,84,0.08639297,834.6671075582418,-296.10074
郎朗,43,86,0.11769826,984.342881728836,-251.00113
郎朗,44,88,0.06396928,723.6482630104558,-339.29166
郎朗,45,90,0.036586322,672.527127770108,-372.76306
郎朗,46,92,0.017029874,839.2074672823738,-422.26254
郎朗,47,94,0.0071356553,928.5944033662905,-469.31683
郎朗,48,96,0.043227915,523.7356481372266,-383.35938
郎朗,49,98,0.030160215,870.0015264102368,-378.11246
郎朗,50,100,0.011758942,815.2192010361216,-438.6
郎朗,51,102,0.050025236,608.8147106685585,-373.66312
郎朗,52,104,0.06571443,957.1834944708162,-318.17084
郎朗,53,106,0.11751495,958.3312860383135,-258.62866
郎朗,54,108,0.12903751,924.5591509331645,-250.53104
郎朗,55,110,0.11781156,804.1203934871586,-266.77454
郎朗,56,112,0.11580594,816.618851836282,-268.7943
郎朗,57,114,0.14077346,976.8312623071673,-220.11304
郎朗,58,116,0.13087593,1034.1262260776587,-234.2872
郎朗,59,118,0.12827939,1004.447534839495,-236.99687
郎朗,60,120,0.118803486,1068.371924299623,-241.24586
郎朗,61,122,0.13300817,959.6097289138504,-229.57321
郎朗,62,124,0.14034396,912.84948917751,-235.14485
郎朗,63,126,0.120637126,920.9771622755869,-247.09781
郎朗,64,128,0.13379455,947.1455129009835,-239.07236
郎朗,65,130,0.14527915,945.5490797542134,-231.52928
郎朗,66,132,0.12867117,874.8135866404506,-255.125
郎朗,67,134,0.07557386,864.6092889571353,-303.3089
郎朗,68,136,0.04137332,859.3227462306627,-351.6336
郎朗,69,138,0.049491078,744.2263321282935,-360.48288
郎朗,70,140,0.037542388,657.8078471291469,-391.938
郎朗,71,142,0.02644103,708.9824846863014,-402.11484
郎朗,72,144,0.008259314,670.2444293694692,-462.65726
郎朗,73,146,0.004270421,1142.4279834477347,-493.76346
郎朗,74,148,0.009024756,807.7454782610669,-469.21436
郎朗,75,150,0.0365184,1059.9045164313502,-371.23288
郎朗,76,152,0.022692485,1454.3187218388944,-379.1077
郎朗,77,154,0.0055031623,1363.7269476865765,-420.23383
郎朗,78,156,0.0045362017,1121.5129071374151,-488.37164
郎朗,79,158,0.0045843744,1032.5051915678307,-487.67654
郎朗,80,160,0.015347481,1076.0532166944856,-398.21255
郎朗,81,162,0.014234353,1743.3461085892156,-366.67218
郎朗,82,164,0.008744185,1361.7484186886613,-422.34692
郎朗,83,166,0.0057914793,1143.7239308227922,-460.57016
郎朗,84,168,0.016420923,990.7442928845858,-405.9654
郎朗,85,170,0.010203102,804.2259062415159,-438.61966
郎朗,86,172,0.013437001,825.0481749861868,-452.2698
郎朗,87,174,0.011172106,790.9188813226255,-449.99274
郎朗,88,176,0.005822571,826.9235565747641,-480.78024
郎朗,89,178,0.007514299,762.1381725479711,-478.69244
郎朗,90,180,0.0029974582,954.5171175534706,-496.5828
郎朗,91,182,0.0161038,574.184872992417,-456.21152
郎朗,92,184,0.006035717,872.4739938703977,-458.09467
郎朗,93,186,0.0028422694,900.655654493676,-502.17368
郎朗,94,188,0.0024338164,989.0474089053683,-512.599
郎朗,95,190,0.0023461166,1016.6699086812096,-515.9108
李云迪,0,0,0.0084052,266.2098027198836,-521.2564
李云迪,1,2,0.06676091,664.5437545469644,-362.4065
李云迪,2,4,0.044382602,1039.7096529863004,-369.35062
李云迪,3,6,0.011692162,807.7622703293414,-461.3624
李云迪,4,8,0.008175362,871.5315427309507,-463.91953
李云迪,5,10,0.03839985,684.0344910265386,-420.12158
李云迪,6,12,0.024154754,914.2633429893291,-387.85385
李云迪,7,14,0.02174067,1108.1177727113086,-393.59048
李云迪,8,16,0.009823947,993.1970160755615,-452.76083
李云迪,9,18,0.0023212896,1125.1885088320155,-518.6424
李云迪,10,20,0.0,0.0,-573.8207
李云迪,11,22,9.097528e-05,922.4954368193345,-572.15155
李云迪,12,24,0.005730512,1444.6063772768036,-528.12573
李云迪,13,26,0.015430064,1052.4201860181959,-441.0104
李云迪,14,28,0.030770889,725.5662255258294,-409.11557
李云迪,15,30,0.025088703,1019.2947516387803,-398.26355
李云迪,16,32,0.011708532,871.045462528464,-454.006
李云迪,17,34,0.0056749727,1149.5526322335431,-468.5232
李云迪,18,36,0.020903513,831.4803019777904,-438.00076
李云迪,19,38,0.01687298,1051.9473665491198,-410.31308
李云迪,20,40,0.008369408,1011.8637232125695,-447.2003
李云迪,21,42,0.0067010396,1056.3592692743766,-463.84073
李云迪,22,44,0.017284732,957.972054626054,-417.64627
李云迪,23,46,0.015023382,798.325341900523,-438.6796
李云迪,24,48,0.0072780913,917.3646502970507,-490.05167
李云迪,25,50,0.00333265,976.7456578223889,-507.5254
李云迪,26,52,0.015275647,590.1729110191732,-446.8645
李云迪,27,54,0.018848004,548.1254103795301,-436.25644
李云迪,28,56,0.039929487,568.5572911974344,-404.75937
李云迪,29,58,0.039230026,637.7584601881564,-410.59564
李云迪,30,60,0.034982894,708.3892816866494,-396.26813
李云迪,31,62,0.042459905,772.4090271946575,-395.62946
李云迪,32,64,0.049610667,793.8380961724567,-374.5132
李云迪,33,66,0.03092284,696.2711114091755,-403.17053
李云迪,34,68,0.05281562,711.0323411499103,-378.14606
李云迪,35,70,0.06164696,701.4012418851152,-371.30988
李云迪,36,72,0.054974154,651.5895153040431,-368.37274
李云迪,37,74,0.047132295,631.3759581327788,-380.0389
李云迪,38,76,0.07115226,754.6926249202857,-332.9161
李云迪,39,78,0.049750738,609.1894561708942,-390.46783
李云迪,40,80,0.025300944,865.4944960934087,-417.0841
李云迪,41,82,0.02424496,909.6953342443283,-419.16794
李云迪,42,84,0.027967216,937.8112787238944,-393.445
李云迪,43,86,0.03956174,940.2194087500495,-385.90384
李云迪,44,88,0.040164288,873.8365472389356,-382.81168
李云迪,45,90,0.029081961,746.8988318211033,-415.19485
李云迪,46,92,0.03254918,926.8438041202284,-395.14813
李云迪,47,94,0.03145692,698.1079344406583,-418.63098
李云迪,48,96,0.047572616,744.8271509470521,-366.22003
李云迪,49,98,0.05296487,770.8217793366576,-373.81793
李云迪,50,100,0.06146974,821.4736091136613,-343.68286
李云迪,51,102,0.05346745,938.8497311451132,-342.00122
李云迪,52,104,0.04551267,891.7400653524041,-363.862
李云迪,53,106,0.07511039,861.9069499302236,-321.8443
李云迪,54,108,0.078796476,801.8580196957367,-327.43924
李云迪,55,110,0.05708768,680.2406938750225,-357.60425
李云迪,56,112,0.03634761,551.0648464463632,-410.66913
李云迪,57,114,0.029782046,553.1216469370113,-423.97314
李云迪,58,116,0.0152371125,948.8442567876449,-443.53134
李云迪,59,118,0.029215094,661.8822898332888,-403.01123
李云迪,60,120,0.05679397,752.5187314673481,-363.19995
李云迪,61,122,0.068208925,925.8170113858528,-338.32837
李云迪,62,124,0.07451802,683.376895141329,-333.05875
李云迪,63,126,0.047343977,919.3898463849417,-373.31717
李云迪,64,128,0.10517375,930.7497484258835,-289.38855
李云迪,65,130,0.087990195,812.1947263930649,-295.2785
李云迪,66,132,0.11179844,917.9041347672019,-270.49335
李云迪,67,134,0.11740964,794.1485925745754,-284.5411
李云迪,68,136,0.112464964,885.4275027133766,-275.46002
李云迪,69,138,0.11643827,884.280192694675,-265.8365
李云迪,70,140,0.11623589,940.025112652951,-266.73376
李云迪,71,142,0.11209748,915.8636505625807,-269.88553
李云迪,72,144,0.11442397,907.8539385764373,-267.3049
李云迪,73,146,0.13213538,864.2567703399781,-259.22467
李云迪,74,148,0.11057757,843.302888333897,-276.69513
李云迪,75,150,0.11421455,879.2919794086832,-266.1178
李云迪,76,152,0.08353802,804.1582960718489,-296.0979
李云迪,77,154,0.07022972,719.0458410843462,-325.96445
李云迪,78,156,0.04571297,889.2522374612314,-352.0214
李云迪,79,158,0.051966224,849.8920137047642,-354.599
李云迪,80,160,0.050390907,623.4228636105059,-376.2473
李云迪,81,162,0.035765547,650.1891873047031,-402.95032
李云迪,82,164,0.009933107,798.878886730653,-471.22974
李云迪,83,166,0.015443474,802.7887699498159,-445.035
李云迪,84,168,0.028762594,718.9167887836962,-403.7672
李云迪,85,170,0.019202266,1006.4118560338131,-411.2098
李云迪,86,172,0.0054549966,870.9736796790147,-488.83514
李云迪,87,174,0.0037782155,964.390257951853,-488.20422
李云迪,88,176,0.018575743,710.7966756277668,-445.5571
李云迪,89,178,0.01145658,1012.8095984785625,-428.0413
李云迪,90,180,0.008967083,1150.3598927135556,-441.81915
李云迪,91,182,0.0065756436,1085.347157601112,-462.0991
李云迪,92,184,0.016444705,957.5945320354537,-422.45746
李云迪,93,186,0.011515568,809.2255555287842,-450.59933
李云迪,94,188,0.008079975,891.2330548010121,-488.65955
李云迪,95,190,0.0047768136,870.214504464737,-503.9823
李云迪,96,192,0.007105701,766.5765983153896,-502.5301
李云迪,97,194,0.0068548936,776.1600477339757,-496.07312
李云迪,98,196,0.004385157,920.4640781436068,-498.01797
李云迪,99,198,0.003790004,967.9423908535421,-512.3334
李云迪,100,200,0.006566851,880.5128721723803,-475.16568
李云迪,101,202,0.0025461223,991.6987108296117,-513.67346
李云迪,102,204,0.0018225752,1243.769427441507,-535.9792
李云迪,103,206,0.0016422778,1414.4549488503033,-543.5378
李云迪,104,208,0.001276224,1626.158315669744,-547.01447
李云迪,105,210,0.0012979463,1543.4442285779824,-548.3012
李云迪,106,212,0.00018230012,1643.058198548321,-570.17566
李云迪,107,214,0.0,0.0,-573.8207
李云迪,108,216,0.0,0.0,-573.8207
李云迪,109,218,0.0,0.0,-573.8207
李云迪,110,220,0.0,0.0,-573.8207
李云迪,111,222,0.0,0.0,-573.8207
李云迪,112,224,0.0,0.0,-573.8207
李云迪,113,226,0.0,0.0,-573.8207
沈文裕,0,0,0.04573969,2082.8159823653696,-317.54938
沈文裕,1,2,0.054114487,989.0156648691021,-336.47394
沈文裕,2,4,0.052273322,932.937207203779,-336.57397
沈文裕,3,6,0.057302687,819.1006487592625,-341.815
沈文裕,4,8,0.05711905,838.4816740902928,-343.90442
沈文裕,5,10,0.061893772,877.9205648869978,-333.92645
沈文裕,6,12,0.05379006,1198.6283597489592,-316.30392
沈文裕,7,14,0.05939243,1021.6901755284347,-316.44528
沈文裕,8,16,0.05742182,1270.0603313977147,-310.05804
沈文裕,9,18,0.05294677,1146.0939779610942,-321.2762
沈文裕,10,20,0.04230458,1179.2302220574009,-349.33768
沈文裕,11,22,0.052240938,1090.6470914054773,-336.90253
沈文裕,12,24,0.069622524,808.3172307321656,-313.68918
沈文裕,13,26,0.0463196,854.9868869082779,-354.7648
沈文裕,14,28,0.0515329,925.6499477387916,-340.70593
沈文裕,15,30,0.05371249,1038.6272448715524,-340.76172
沈文裕,16,32,0.05953374,975.4372606922251,-326.9296
沈文裕,17,34,0.051532358,961.8455562413241,-340.99393
沈文裕,18,36,0.062635876,935.9499292774092,-329.39902
沈文裕,19,38,0.044468246,1224.311736540156,-324.4253
沈文裕,20,40,0.05374567,1172.4638813551726,-322.86328
沈文裕,21,42,0.04543679,1572.9759988490653,-306.1374
沈文裕,22,44,0.041997932,1484.8680230386851,-325.49338
沈文裕,23,46,0.061692372,1238.1257553186606,-310.62964
沈文裕,24,48,0.026976053,1553.8597147898358,-359.43073
沈文裕,25,50,0.02414957,1186.4264751243506,-410.8017
沈文裕,26,52,0.059689734,2085.7499315896043,-342.95706
沈文裕,27,54,0.06576734,1086.1822810556316,-281.38867
沈文裕,28,56,0.06019153,995.5856010530863,-300.28918
沈文裕,29,58,0.05651475,977.5108327629868,-307.78714
沈文裕,30,60,0.059320528,970.0558919653829,-305.39166
沈文裕,31,62,0.06569033,995.9439906493516,-300.88354
沈文裕,32,64,0.05844239,946.0106127059485,-312.60965
沈文裕,33,66,0.055606913,1143.738263654636,-305.47818
沈文裕,34,68,0.039952062,1029.9629656956351,-354.48618
沈文裕,35,70,0.060381673,1053.5161828470343,-327.00555
沈文裕,36,72,0.048892204,1237.730306963025,-322.40085
沈文裕,37,74,0.04172285,1149.2557947478672,-356.0273
沈文裕,38,76,0.070983574,1165.4412506708197,-284.24393
沈文裕,39,78,0.05802872,1060.5791571411041,-308.58618
沈文裕,40,80,0.050757237,1127.056740359514,-338.73904
沈文裕,41,82,0.046901975,1172.0720359302309,-344.9209
沈文裕,42,84,0.052574486,1204.5546855437453,-332.3574
沈文裕,43,86,0.06532181,1245.9878011424858,-311.2101
沈文裕,44,88,0.047731966,1104.8771241604843,-346.93
沈文裕,45,90,0.050559793,1037.7193923901648,-337.612
沈文裕,46,92,0.0660028,1057.905246890075,-315.03348
沈文裕,47,94,0.051663432,1092.1179230415048,-333.06564
沈文裕,48,96,0.056489766,1124.8440813770196,-327.1199
沈文裕,49,98,0.057607535,1282.3825362231523,-323.43408
沈文裕,50,100,0.052424114,1378.0057041147604,-315.98468
沈文裕,51,102,0.0597933,762.3954189818122,-335.07996
沈文裕,52,104,0.062203184,778.5864064565939,-327.58817
沈文裕,53,106,0.06083492,1000.5564882225535,-316.35223
沈文裕,54,108,0.04887592,948.3327700125232,-333.2847
沈文裕,55,110,0.033771608,1254.4127923237172,-331.17783
沈文裕,56,112,0.06084491,1074.2334139686197,-299.7053
沈文裕,57,114,0.068687625,948.8354748426812,-299.19153
沈文裕,58,116,0.055998158,1063.060771931322,-303.5287
沈文裕,59,118,0.058199618,1119.1632245455755,-312.4792
沈文裕,60,120,0.06623855,998.3450511729399,-295.82755
沈文裕,61,122,0.06316005,1241.746256869468,-281.524
沈文裕,62,124,0.05307884,1205.9759803273237,-305.6408
沈文裕,63,126,0.040896162,1635.2424426311775,-312.01508
沈文裕,64,128,0.06408597,985.8197126747962,-309.96112
沈文裕,65,130,0.049481127,870.2831357021577,-352.79196
沈文裕,66,132,0.04307687,1608.683889188375,-323.77695
沈文裕,67,134,0.026134757,1472.8117775160258,-386.82614
沈文裕,68,136,0.005359859,2968.2409669012977,-411.12238
沈文裕,69,138,0.029539935,3767.001480048158,-246.33134
