Comparison,MFCC,t_stat,p_value,Cohen's d,Sig
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),0,37.08408,0.0,0.37490612,***
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),0,-74.95494,0.0,-0.931654,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),0,-112.48466,0.0,-1.3852863,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),1,5.6289387,1.825498e-08,0.057403125,***
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),1,-97.13017,0.0,-1.2061325,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),1,-84.67702,0.0,-1.0560945,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),2,-14.012747,0.0,-0.14045367,***
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),2,178.5263,0.0,2.1575563,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),2,222.5712,0.0,2.574672,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),3,19.298086,0.0,0.19383088,***
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),3,60.711403,0.0,0.73559856,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),3,48.93219,0.0,0.5719694,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),4,36.619244,0.0,0.36903533,***
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),4,-12.087446,1.4711084e-33,-0.13937539,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),4,-43.12643,0.0,-0.4746556,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),5,1.6479053,0.09938003,0.016523087,ns
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),5,72.00987,0.0,0.8316394,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),5,80.51234,0.0,0.8731629,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),6,2.67148,0.0075548557,0.026980463,**
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),6,45.00212,0.0,0.5324631,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),6,43.896366,0.0,0.50459296,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),7,13.819512,0.0,0.13938871,***
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),7,17.067455,0.0,0.20409046,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),7,4.7975783,1.6128613e-06,0.05573727,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),8,19.375078,0.0,0.19578858,***
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),8,9.254653,2.28681e-20,0.10852592,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),8,-7.6058908,2.9034768e-14,-0.08651324,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),9,16.644926,0.0,0.16884942,***
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),9,-12.422749,2.4000566e-35,-0.144736,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),9,-26.27689,0.0,-0.3000815,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),10,-3.2739174,0.0010615882,-0.0332383,**
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),10,-11.070678,1.9746473e-28,-0.1283701,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),10,-7.8802385,3.3660047e-15,-0.08965197,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),11,-17.976797,0.0,-0.18133675,***
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),11,18.107088,0.0,0.21222259,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),11,34.931526,0.0,0.39467695,***
郎朗 (Lang Lang) vs 李云迪 (Li Yundi),12,-16.051743,0.0,-0.16216128,***
郎朗 (Lang Lang) vs 沈文裕 (Shen Wenyu),12,31.64552,0.0,0.37015328,***
李云迪 (Li Yundi) vs 沈文裕 (Shen Wenyu),12,46.612385,0.0,0.5278313,***
